iter	Passed	Remaining
0	11	16493
1	23	17589
2	36	18123
3	50	18721
4	62	18590
5	75	18782
6	89	19057
7	102	19174
8	115	19164
9	129	19316
10	141	19125
11	155	19242
12	167	19152
13	183	19430
14	198	19674
15	212	19746
16	226	19719
17	238	19677
18	250	19561
19	265	19669
20	280	19721
21	296	19947
22	311	19998
23	327	20134
24	343	20278
25	360	20455
26	370	20215
27	382	20113
28	393	19945
29	404	19816
30	416	19732
31	428	19650
32	440	19601
33	454	19615
34	465	19474
35	477	19438
36	487	19285
37	499	19213
38	510	19114
39	522	19089
40	533	18975
41	545	18938
42	556	18866
43	567	18787
44	578	18709
45	591	18684
46	600	18578
47	613	18570
48	625	18509
49	637	18491
50	646	18375
51	658	18336
52	669	18278
53	680	18227
54	691	18166
55	703	18148
56	714	18079
57	726	18054
58	740	18090
59	753	18094
60	764	18039
61	777	18033
62	788	17986
63	802	18002
64	812	17936
65	825	17944
66	838	17929
67	850	17901
68	859	17829
69	873	17849
70	883	17788
71	895	17763
72	906	17710
73	917	17676
74	926	17608
75	941	17645
76	953	17626
77	965	17607
78	977	17591
79	991	17590
80	1002	17556
81	1012	17516
82	1023	17465
83	1034	17438
84	1043	17375
85	1056	17367
86	1067	17330
87	1078	17310
88	1088	17259
89	1100	17241
90	1110	17193
91	1121	17164
92	1133	17151
93	1148	17179
94	1158	17135
95	1170	17122
96	1181	17093
97	1193	17070
98	1203	17038
99	1215	17021
100	1226	16988
101	1238	16970
102	1249	16945
103	1261	16936
104	1272	16899
105	1284	16886
106	1294	16856
107	1305	16829
108	1322	16870
109	1333	16853
110	1345	16839
111	1356	16813
112	1368	16797
113	1380	16784
114	1390	16747
115	1402	16731
116	1412	16692
117	1424	16683
118	1434	16648
119	1446	16639
120	1459	16638
121	1472	16629
122	1482	16594
123	1497	16612
124	1509	16601
125	1524	16628
126	1534	16593
127	1546	16577
128	1558	16565
129	1571	16560
130	1582	16533
131	1593	16516
132	1603	16483
133	1616	16483
134	1628	16464
135	1640	16449
136	1650	16416
137	1664	16428
138	1676	16412
139	1687	16397
140	1697	16365
141	1709	16351
142	1718	16310
143	1730	16291
144	1740	16266
145	1751	16246
146	1761	16213
147	1775	16214
148	1785	16190
149	1796	16167
150	1807	16144
151	1820	16144
152	1830	16112
153	1841	16091
154	1851	16067
155	1862	16045
156	1872	16019
157	1885	16018
158	1895	15990
159	1908	15980
160	1920	15970
161	1934	15980
162	1944	15952
163	1956	15937
164	1967	15917
165	1980	15915
166	1993	15909
167	2005	15898
168	2021	15920
169	2033	15909
170	2043	15880
171	2056	15880
172	2067	15857
173	2078	15837
174	2089	15822
175	2103	15822
176	2113	15796
177	2124	15780
178	2135	15757
179	2147	15748
180	2157	15719
181	2168	15706
182	2179	15684
183	2190	15666
184	2201	15650
185	2214	15647
186	2227	15641
187	2238	15624
188	2250	15609
189	2263	15603
190	2272	15575
191	2284	15565
192	2296	15549
193	2310	15554
194	2322	15541
195	2333	15527
196	2344	15505
197	2355	15488
198	2365	15464
199	2376	15448
200	2387	15428
201	2400	15422
202	2411	15406
203	2423	15393
204	2433	15372
205	2445	15359
206	2454	15334
207	2466	15321
208	2477	15301
209	2488	15287
210	2504	15300
211	2518	15298
212	2530	15289
213	2542	15280
214	2552	15256
215	2565	15249
216	2576	15231
217	2587	15217
218	2597	15194
219	2609	15183
220	2620	15165
221	2631	15151
222	2642	15132
223	2654	15119
224	2664	15097
225	2675	15084
226	2686	15063
227	2699	15058
228	2709	15039
229	2723	15036
230	2733	15018
231	2746	15008
232	2757	14993
233	2768	14979
234	2778	14954
235	2789	14942
236	2800	14923
237	2812	14915
238	2824	14900
239	2836	14890
240	2847	14873
241	2860	14872
242	2873	14861
243	2884	14849
244	2894	14826
245	2907	14819
246	2918	14803
247	2928	14783
248	2940	14770
249	2952	14763
250	2961	14739
251	2973	14725
252	2985	14717
253	2997	14704
254	3006	14680
255	3021	14680
256	3032	14665
257	3045	14661
258	3057	14647
259	3068	14634
260	3078	14615
261	3092	14611
262	3103	14595
263	3114	14582
264	3124	14563
265	3138	14559
266	3148	14541
267	3160	14526
268	3171	14513
269	3183	14504
270	3193	14481
271	3206	14476
272	3216	14458
273	3229	14452
274	3239	14431
275	3252	14422
276	3263	14408
277	3274	14391
278	3284	14374
279	3297	14366
280	3307	14347
281	3324	14358
282	3334	14340
283	3348	14336
284	3360	14324
285	3371	14311
286	3381	14290
287	3392	14278
288	3401	14254
289	3413	14243
290	3424	14225
291	3435	14213
292	3445	14192
293	3457	14183
294	3468	14169
295	3482	14165
296	3494	14153
297	3508	14150
298	3519	14135
299	3532	14128
300	3543	14114
301	3554	14100
302	3567	14091
303	3578	14078
304	3588	14061
305	3599	14046
306	3609	14028
307	3621	14014
308	3631	13997
309	3642	13983
310	3652	13962
311	3665	13955
312	3676	13941
313	3688	13931
314	3699	13915
315	3710	13904
316	3721	13888
317	3732	13873
318	3742	13856
319	3755	13847
320	3767	13838
321	3779	13827
322	3791	13814
323	3804	13810
324	3815	13792
325	3827	13783
326	3838	13769
327	3850	13757
328	3859	13738
329	3871	13727
330	3885	13721
331	3897	13709
332	3907	13694
333	3919	13681
334	3929	13664
335	3941	13653
336	3952	13639
337	3963	13625
338	3975	13613
339	3987	13605
340	3998	13589
341	4009	13577
342	4021	13564
343	4033	13555
344	4045	13542
345	4056	13530
346	4067	13516
347	4078	13501
348	4092	13498
349	4104	13486
350	4115	13472
351	4126	13458
352	4137	13444
353	4149	13433
354	4159	13417
355	4171	13405
356	4181	13389
357	4194	13381
358	4205	13366
359	4216	13353
360	4227	13339
361	4239	13327
362	4249	13310
363	4261	13299
364	4273	13288
365	4285	13279
366	4297	13267
367	4309	13255
368	4319	13238
369	4332	13231
370	4341	13213
371	4353	13200
372	4363	13183
373	4374	13169
374	4383	13151
375	4396	13143
376	4406	13125
377	4419	13116
378	4429	13102
379	4442	13094
380	4452	13076
381	4464	13066
382	4475	13052
383	4486	13038
384	4498	13026
385	4512	13022
386	4525	13013
387	4537	13003
388	4547	12988
389	4561	12983
390	4573	12970
391	4584	12958
392	4596	12948
393	4611	12945
394	4622	12932
395	4634	12920
396	4644	12904
397	4656	12892
398	4668	12881
